t15,instance,ip,server,status,anomaly_score,threshold,is_anomaly,is_sustained,dominant_metric,resource,severity
2026-02-26 14:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5424277113555362,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 14:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5816321788151407,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 14:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.539351103153512,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 14:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6008052530507995,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 15:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5679659260018063,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 15:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6026483483818882,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 15:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5169420778380621,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 15:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5860913165999557,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 16:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5740188835101901,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 16:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5897618234636997,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 16:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5949337591223822,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 16:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6051054694213345,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 17:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5858437526221419,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 17:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5456579851250091,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 17:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6255989929489628,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 17:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5889952283998904,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 18:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5168305794014943,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 18:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5472657220222271,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 18:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5354736792690609,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
